display_name,strategy_bucket,active,cnpj,manager,match_status,notes,source_label,subscription_status,subscription_status_source,subscription_status_checked_at,evidence_note
Zenith Vitória Régia,Long Only,True,05.384.841/0001-63,Zenith Asset,matched,,Zenith Vitoria regia,unknown,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Status unconfirmed per manual review (funds_subscription_status.xlsx)
AF Invest Minas,Long Only,True,11.209.172/0001-96,AF Invest,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Constellation,Long Only,True,18.872.811/0001-48,Constellation Investimentos,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Safra Equity Portfolio Special,Long Only,True,47.178.215/0001-60,Safra Asset,matched,,,unknown,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Status unconfirmed per manual review (funds_subscription_status.xlsx)
Squadra Long-Only,Long Only,True,09.412.822/0001-54,Squadra Investimentos,matched,Squadra Long-Only FIC FIA (also registered as Squadra Long Only FIF Cotas FIA),Squadra Long-Only FIC FIA,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
Dynamo Cougar,Long Only,True,73.232.530/0001-39,Dynamo,matched,Dynamo Cougar FIF; master is Dynamo Cougar Master FIA (37.916.879/0001-26); fund started 1993; AUM ~R$6.3bn,Dynamo Cougar FIF,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
Atmos Ações,Long Only,True,11.145.320/0001-56,Atmos Capital,matched,Atmos Ações FIF Cotas FIA; admin BTG Pactual; started 2009,Atmos Ações FIC FIA,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
Sharp Equity Value,Long Only,True,12.565.159/0001-32,Sharp Capital,matched,Sharp Equity Value Feeder FIC FIA; value investing strategy; long-only confirmed; distinct from Sharp Long Biased and Sharp Long Short,Sharp Equity Value Feeder,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Truxt I Long Biased,Long Biased,True,26.210.505/0001-74,Truxt Investimentos,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
SPX Falcon,Long Biased,True,16.617.768/0001-49,SPX Capital,matched,,,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
Pátria Long Biased,Long Biased,True,38.954.217/0001-03,Pátria Investimentos,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Absolute Pace Long Biased,Long Biased,True,32.073.525/0001-43,Absolute Investimentos,matched,,,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
Guepardo Long Biased,Long Biased,True,24.623.392/0001-03,Guepardo Investimentos,matched,,Guepardo Long Bias,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Itaú Vértice Fundamenta LATAM,Long Biased,True,28.140.793/0001-63,Itaú Asset,matched,,Itaú Vertice Fundamenta LATAM,unknown,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Status unconfirmed per manual review (funds_subscription_status.xlsx)
Ibiuna Long Biased,Long Biased,True,17.554.200/0001-99,Ibiuna,matched,,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Vinci Total Return,Long Biased,True,35.636.909/0001-15,Vinci Partners,matched,,,unknown,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Status unconfirmed per manual review (funds_subscription_status.xlsx)
AZ Quest Top Long Biased,Long Biased,True,13.974.750/0001-06,AZ Quest,matched,AZ Quest Top Long Biased FIC FIF Ações,Az quest top long biased,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Occam Long Biased,Long Biased,True,18.525.868/0001-70,Occam Brasil,matched,Occam Long Biased FIC FIM RL,Occam Long biased,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
JGP Equity,Long Biased,True,09.143.318/0001-04,JGP Gestão de Recursos,matched,JGP Equity FIC FIM,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Bahia Long Biased,Long Biased,True,23.732.231/0001-95,Bahia Asset,matched,Bahia AM Long Biased FIC FIM,Bahia AM Long Biased,unknown,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Status unconfirmed per manual review (funds_subscription_status.xlsx)
Genoa Arpa,Long Biased,True,37.495.383/0001-26,Genoa Capital,matched,Genoa Capital Arpa FIC FIM,Genoa Capital Arpa,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Itaú Optimus Long Biased,Long Biased,True,46.479.577/0001-29,Itaú Asset,matched,Itaú Optimus Long Bias Multimercado FIF DA Classe FIC RL; started 2022-07-29,Itau Optimus Long biased,unknown,CVM registro_classe (dados.cvm.gov.br/dados/FI/CAD/DADOS/registro_fundo_classe.zip),2026-04-08T15:37:55Z,Situacao='Em Funcionamento Normal'; Forma_Condominio=Aberto — open-end structure confirmed active; CVM open-data no longer publishes explicit captação_aberta flag
IP Value Hedge,Long Biased,True,11.827.579/0001-87,Investidor Profissional,matched,IP Value Hedge Partners FIC FIA BDR Nível I,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Polo Long Bias I,Long Biased,True,27.347.332/0001-01,Polo Capital,matched,Polo Long Bias I FIC FIM,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Squadra Long-Biased,Long Biased,True,09.285.146/0001-03,Squadra Investimentos,matched,Squadra Long-Biased FIC FIA (also registered as Squadra Long-Biased FI Financeiro Cotas FIA),Squadra Long-Biased FIC FIA,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
Sharp Long Biased,Long Biased,True,32.068.007/0001-31,Sharp Capital,matched,Sharp Long Biased Feeder FIC FIA; master is Sharp Long Biased Master FIA (32.064.571/0001-86); distinct from Sharp Long Short and Sharp Equity Value,Sharp Long Biased Feeder,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Truxt I Long Short,Long Short,True,26.262.377/0001-02,Truxt Investimentos,matched,Truxt I Long Short FIC FIM,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Polo Norte I,Long Short,True,07.013.315/0001-12,Polo Capital,matched,Polo Norte I Long Short FIC FIM,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open per manual review (funds_subscription_status.xlsx); note: CVM legacy cad_fi shows SIT=CANCELADA for this CNPJ — fund likely migrated to a new legal vehicle or continues under a different registration
Távola Equity Hedge,Long Short,True,40.575.693/0001-65,Távola Capital,matched,Tavola Equity Hedge 15 FI Financeiro Multimercado,,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
Real Investor Multimercado,Long Short,True,28.911.549/0001-57,Real Investor,matched,CVM175 class: REAL INVESTOR FIC DE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO (CNPJ 28.911.549/0001-57); formerly tracked as Real Investor Long Short (CNPJ 60.335.772/0001-06 = Real Investor Long Short Plus FIC FIF Multimercado),Real Investor FIC FIF Multimercado,unknown,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Status unconfirmed per manual review (funds_subscription_status.xlsx)
Oceana Equity Hedge,Long Short,True,28.777.460/0001-40,Oceana Investimentos,matched,Oceana Equity Hedge FIC FI Financeiro Ações RL (feeder); master is 15.612.413/0001-02,,unknown,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Status unconfirmed per manual review (funds_subscription_status.xlsx)
Bradesco Equity Hedge,Long Short,True,38.376.759/0001-46,Bradesco Asset (BRAM),matched,Bradesco FIC FIM Equity Hedge,,open,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Open for subscriptions per manual review (funds_subscription_status.xlsx)
Sharp Long Short,Long Short,True,07.279.819/0001-89,Sharp Capital,matched,Sharp Long Short FI Financeiro Multimercado,,closed,manual (funds_subscription_status.xlsx),2026-04-08T00:00:00Z,Closed for subscriptions per manual review (funds_subscription_status.xlsx)
